大臺北地區捷運車站出入口,,,,
項次,出入口名稱,出入口?編號,坐標X(TWD97),坐標Y(TWD97)
303,善導寺站出口3,3,302814.7818,2770814.547
304,善導寺站出口4,4,302894.2632,2770757.415
305,善導寺站出口5,5,302958.8851,2770784.331
306,善導寺站出口6,6,302966.5864,2770825.963
307,復興崗站出口1,1,298929.2471,2781121.065
308,復興崗站出口2,2,298923.2036,2781071.829
309,景安站出口,0,300923.9166,2765166.885
310,景美站出口1,1,304619.3096,2765013.12
311,景美站出口2,2,304680.2224,2765131.623
312,景美站出口3,3,304569.9234,2765101.217
313,港墘站出口1,1,308101.2661,2774780.861
314,港墘站出口2,2,307968.7795,2774769.259
315,菜寮站出口1,1,299502.3796,2772461.004
316,菜寮站出口2,2,299548.9823,2772433.453
317,菜寮站出口3,3,299590.9411,2772526.87
318,象山站出口1,1,307460.1938,2769568.924
319,象山站出口2,2,307515.7003,2769472.03
320,象山站出口3,3,307581.7232,2769565.996
321,圓山站出口1,1,302461.745,2773707.837
322,圓山站出口2,2,302464.9886,2773808.887
323,新北投站出口,0,300774.4653,2781042.814
324,新店市公所站出口1,1,304636.2161,2762273.962
325,新店市公所站出口2,2,304688.023,2762349.345
326,新店站出口,0,304316.1932,2761243.132
327,新埔站出口1,1,297176.8781,2768412.571
328,新埔站出口2,2,297249.7651,2768317.306
329,新埔站出口3,3,297289.6092,2768388.71
330,新埔站出口4,4,297285.9134,2768450.407
331,新埔站出口5,5,297236.0416,2768542.135
332,新莊站出口1,1,295633.5627,2769917.872
333,新莊站出口2,2,295653.8624,2769821.987
334,萬芳社區站出口,0,307378.8062,2765739.605
335,萬芳醫院站出口,0,306286.1669,2765830.062
336,萬隆站出口1,1,304398.1913,2766039.202
337,萬隆站出口2,2,304488.3627,2766044.381
338,萬隆站出口3,3,304436.9825,2766137.357
339,萬隆站出口4,4,304343.9421,2766191.062
340,葫洲站出口1,1,311352.2801,2773943.821
341,葫洲站出口2,2,311273.1296,2773942.914
342,臺北車站出口M1,M1,302300.5346,2771220.072
343,臺北車站出口M2,M2,302373.5961,2771208.639
344,臺北車站出口M3,M3,302256.2336,2771019.264
345,臺北車站出口M4,M4,302196.8681,2771041.23
346,臺北車站出口M5,M5,302061.1208,2771061.503
347,臺北車站出口M6,M6,302135.2405,2770962.923
348,臺北車站出口M7,M7,302337.799,2770983.204
349,臺北車站出口M8,M8,302214.2751,2770939.685
350,輔大站出口1,1,293941.5956,2769512.175
351,輔大站出口2,2,293933.4798,2769405.666
352,輔大站出口3,3,294067.9933,2769431.95
353,輔大站出口4,4,294032.8863,2769553.591
354,劍南路站出口1,1,306022.9931,2775360.967
355,劍南路站出口2,2,305999.4544,2775262.058
356,劍南路站出口3,3,306094.2678,2775229.899
357,劍潭站出口1,1,302994.6872,2775315.082
358,劍潭站出口2,2,302915.0904,2775099.87
359,貓纜指南宮站出口,0,309528.5076,2763593.323
360,貓纜指南宮站出口,0,309543.9082,2763595.602
361,貓纜動物園內站出口,0,309271.7787,2764813.716
362,貓纜動物園站出口,0,308171.9537,2765459.803
363,貓纜動物園站出口,0,308184.6509,2765476.778
364,貓纜貓空站出口,0,309394.8855,2762400.792
365,頭前庄站出口1,1,296480.548,2770248.085
366,頭前庄站出口2,2,296512.2888,2770163.458
367,頭前庄站出口3,3,296630.5707,2770242.573
368,頭前庄站出口4,4,296625.4873,2770350.082
369,龍山寺站出口1,1,300392.3847,2769816.353
370,龍山寺站出口2,2,300468.0568,2769744.261
371,龍山寺站出口3,3,300629.8194,2769816.024
372,雙連站出口1,1,302522.1058,2772248.725
373,雙連站出口2,2,302523.3075,2772277.762
374,關渡站出口1,1,297131.3329,2779760.175
375,關渡站出口2,2,297065.6028,2779764.187
376,蘆洲站出口1,1,296869.8891,2775968.656
377,蘆洲站出口2,2,296885.3741,2776021.241
378,蘆洲站出口3,3,296842.0333,2776033.616
379,麟光站出口,0,306437.0355,2767923.547
380,麟光站出口,0,306384.3772,2767968.339
